Crime,year,month,reported
Larceny Dwelling House,2012,Dec,29
Narcotics,2012,Dec,18
Other,2012,Dec,58
Murders,2011,Jan,47
Woundings and Shootings,2011,Jan,66
"Rapes, Incest and Sexual Offences",2011,Jan,35
Burglaries and Breakings,2011,Jan,362
Narcotics,2011,Jan,42
Fraud Offences,2011,Jan,12
Kidnapping,2011,Jan,8
Kidnapping for Ransom,2011,Jan,0
Serious Indecency,2011,Jan,5
Robberies,2011,Jan,321
General Larceny,2011,Jan,269
Larceny Motor Vehicles,2011,Jan,107
Larceny Dwelling House,2011,Jan,48
Murders,2011,Feb,25
Woundings and Shootings,2011,Feb,35
"Rapes, Incest and Sexual Offences",2011,Feb,40
Burglaries and Breakings,2011,Feb,350
Robberies,2011,Feb,277
General Larceny,2011,Feb,269
Larceny Motor Vehicles,2011,Feb,128
Larceny Dwelling House,2011,Feb,29
Narcotics,2011,Feb,27
Kidnapping,2011,Feb,9
Kidnapping for Ransom,2011,Feb,0
Fraud Offences,2011,Feb,8
Serious Indecency,2011,Feb,4
Murders,2011,Mar,34
Woundings and Shootings,2011,Mar,45
"Rapes, Incest and Sexual Offences",2011,Mar,48
Burglaries and Breakings,2011,Mar,407
Robberies,2011,Mar,339
Larceny Motor Vehicles,2011,Mar,100
Larceny Dwelling House,2011,Mar,29
Narcotics,2011,Mar,34
Kidnapping,2011,Mar,13
Kidnapping for Ransom,2011,Mar,1
Fraud Offences,2011,Mar,10
Serious Indecency,2011,Mar,5
General Larceny,2011,Mar,283
Larceny Dwelling House,2011,Apr,46
Narcotics,2011,Apr,44
Murders,2011,Apr,27
Woundings and Shootings,2011,Apr,52
"Rapes, Incest and Sexual Offences",2011,Apr,38
Burglaries and Breakings,2011,Apr,299
Kidnapping,2011,Apr,8
Kidnapping for Ransom,2011,Apr,0
Fraud Offences,2011,Apr,12
Robberies,2011,Apr,313
General Larceny,2011,Apr,277
Larceny Motor Vehicles,2011,Apr,84
Serious Indecency,2011,Apr,2
Murders,2011,May,33
Woundings and Shootings,2011,May,53
Robberies,2011,May,326
General Larceny,2011,May,251
Larceny Motor Vehicles,2011,May,91
Kidnapping for Ransom,2011,May,0
Fraud Offences,2011,May,11
Serious Indecency,2011,May,10
Narcotics,2011,May,35
"Rapes, Incest and Sexual Offences",2011,May,60
Burglaries and Breakings,2011,May,338
Larceny Dwelling House,2011,May,35
Kidnapping,2011,May,10
General Larceny,2011,Jun,260
Larceny Motor Vehicles,2011,Jun,62
Narcotics,2011,Jun,38
Fraud Offences,2011,Jun,22
Serious Indecency,2011,Jun,1
"Rapes, Incest and Sexual Offences",2011,Jun,35
Kidnapping for Ransom,2011,Jun,1
Murders,2011,Jun,29
Woundings and Shootings,2011,Jun,49
Burglaries and Breakings,2011,Jun,351
Robberies,2011,Jun,326
Larceny Dwelling House,2011,Jun,41
Kidnapping,2011,Jun,11
Woundings and Shootings,2011,Jul,49
Murders,2011,Jul,49
"Rapes, Incest and Sexual Offences",2011,Jul,39
Burglaries and Breakings,2011,Jul,356
Robberies,2011,Jul,374
General Larceny,2011,Jul,259
Larceny Dwelling House,2011,Jul,46
Narcotics,2011,Jul,34
Kidnapping,2011,Jul,10
Kidnapping for Ransom,2011,Jul,0
Fraud Offences,2011,Jul,17
Serious Indecency,2011,Jul,2
Larceny Motor Vehicles,2011,Jul,62
Murders,2011,Aug,31
Woundings and Shootings,2011,Aug,45
"Rapes, Incest and Sexual Offences",2011,Aug,42
Burglaries and Breakings,2011,Aug,291
Robberies,2011,Aug,248
General Larceny,2011,Aug,192
Larceny Motor Vehicles,2011,Aug,61
Larceny Dwelling House,2011,Aug,30
Fraud Offences,2011,Aug,6
Serious Indecency,2011,Aug,5
Narcotics,2011,Aug,34
Kidnapping,2011,Aug,8
Kidnapping for Ransom,2011,Aug,0
Woundings and Shootings,2011,Sep,20
Murders,2011,Sep,15
"Rapes, Incest and Sexual Offences",2011,Sep,37
Burglaries and Breakings,2011,Sep,248
Robberies,2011,Sep,149
General Larceny,2011,Sep,155
Larceny Motor Vehicles,2011,Sep,21
Larceny Dwelling House,2011,Sep,32
Narcotics,2011,Sep,46
Kidnapping,2011,Sep,4
Kidnapping for Ransom,2011,Sep,0
Fraud Offences,2011,Sep,11
Serious Indecency,2011,Sep,4
Murders,2011,Oct,13
Woundings and Shootings,2011,Oct,27
"Rapes, Incest and Sexual Offences",2011,Oct,37
Robberies,2011,Oct,194
General Larceny,2011,Oct,178
Larceny Motor Vehicles,2011,Oct,26
Larceny Dwelling House,2011,Oct,29
Narcotics,2011,Oct,38
Kidnapping,2011,Oct,8
Kidnapping for Ransom,2011,Oct,0
Fraud Offences,2011,Oct,10
Serious Indecency,2011,Oct,3
Burglaries and Breakings,2011,Oct,252
"Rapes, Incest and Sexual Offences",2011,Nov,61
Burglaries and Breakings,2011,Nov,325
Murders,2011,Nov,16
Woundings and Shootings,2011,Nov,25
Robberies,2011,Nov,253
General Larceny,2011,Nov,240
Larceny Motor Vehicles,2011,Nov,41
Larceny Dwelling House,2011,Nov,33
Kidnapping,2011,Nov,6
Kidnapping for Ransom,2011,Nov,0
Narcotics,2011,Nov,24
Fraud Offences,2011,Nov,18
Serious Indecency,2011,Nov,4
Murders,2011,Dec,33
Woundings and Shootings,2011,Dec,28
Robberies,2011,Dec,303
General Larceny,2011,Dec,222
Larceny Motor Vehicles,2011,Dec,65
Larceny Dwelling House,2011,Dec,42
"Rapes, Incest and Sexual Offences",2011,Dec,40
Burglaries and Breakings,2011,Dec,312
Kidnapping,2011,Dec,4
Narcotics,2011,Dec,18
Kidnapping for Ransom,2011,Dec,0
Fraud Offences,2011,Dec,15
Serious Indecency,2011,Dec,1
